title,score,author,time,source
"'Now or never' battle to save Indonesia’s endangered orangutans as British companies still using 'dirty' palm oil: Activists prepare to reveal 'proof' that brands such as Cadbury’s, Dove and Colgate buy from suppliers razing rainforests at alarming rate",3178,maxwellhill,Tue Sep 18 03:09:18 2018 UTC,independent.co.uk
SpaceX: We’ll Consider Launching Space Weapons If Asked,459,iga666,Tue Sep 18 13:08:30 2018 UTC,defenseone.com
US imposes new $200bn tariffs on China,14.8k,mvanigan,Mon Sep 17 22:42:35 2018 UTC,bbc.co.uk
The Eighth Amendment which effectively banned abortion in the Republic of Ireland has been formally repealed,68.6k,alfosn,Tue Sep 18 20:08:20 2018 UTC,bbc.com
"Russian 'fake news' machine going mad, says French envoy to U.S.",27.8k,stone_dog,Tue Sep 18 15:30:01 2018 UTC,reuters.com
Truck filled with 157 rotting bodies is dumped behind a housing complex by Mexican officials after morgues ran out of room amid an epidemic of violence,4421,Olmectron,Tue Sep 18 13:36:04 2018 UTC,dailymail.co.uk
Pyongyang: North and South Korean Leaders Reportedly Preparing to Declare End of Korean War,1751,PoliticsBeepBooper,Tue Sep 18 16:49:51 2018 UTC,democracynow.org
South Africa’s highest court decriminalises marijuana use.,45.3k,00Jim,Tue Sep 18 08:32:03 2018 UTC,m.news24.com
Russian police say gay people aren't protected against hate speech because they're ‘not a social group’,1237,leenur,Tue Sep 18 16:28:22 2018 UTC,amp.meduza.io
Mysterious great white shark lair discovered in Pacific Ocean,2562,loki2002,Tue Sep 18 12:17:59 2018 UTC,sfgate.com
Mexico stops hotel project at sea turtle nesting beach,316,savethedolphins8616,Tue Sep 18 23:08:58 2018 UTC,cnbc.com
Russia blames Israel after plane shot down,1492,LegalSentence,Tue Sep 18 14:41:33 2018 UTC,bbc.com
Lithuanian officials said Tuesday Walmart will no longer sell clothing featuring Soviet Union logos after Baltic countries asked the retail giant to remove USSR-emblazoned apparel.,711,maxwellhill,Tue Sep 18 15:18:02 2018 UTC,thehill.com
